condition,Cerebellum,Dorsal midbrain,Dorsal telencephalon,Hypothalamus,Medulla,Pons,Thalamus,Unspecific,Ventral midbrain,Ventral telencephalon
BMP4 CHIR,0.0,0.0872210953346856,0.0,0.030425963488843813,0.010141987829614604,0.0,0.27450980392156865,0.5138607167004733,0.08384043272481406,0.0
BMP4 CHIR d11-16,0.004118616144975288,0.12273476112026359,0.0008237232289950577,0.026359143327841845,0.015650741350906095,0.005766062602965404,0.2701812191103789,0.5296540362438221,0.02471169686985173,0.0
BMP4 SAG,0.017857142857142856,0.30357142857142855,0.020089285714285716,0.38839285714285715,0.011160714285714286,0.03794642857142857,0.060267857142857144,0.12053571428571429,0.011160714285714286,0.029017857142857144
BMP7,0.013937282229965157,0.18292682926829268,0.05313588850174216,0.028745644599303136,0.005226480836236934,0.02003484320557491,0.5409407665505227,0.1332752613240418,0.02177700348432056,0.0
BMP7 CHIR,0.010025062656641603,0.40350877192982454,0.006265664160401002,0.08020050125313283,0.023809523809523808,0.0037593984962406013,0.24812030075187969,0.13283208020050125,0.09147869674185463,0.0
BMP7 SAG,0.07142857142857142,0.1406926406926407,0.017316017316017316,0.2510822510822511,0.023809523809523808,0.07792207792207792,0.07575757575757576,0.3354978354978355,0.006493506493506494,0.0
C/L/S/FGF8,0.09267563527653214,0.476831091180867,0.0029895366218236174,0.06427503736920777,0.01195814648729447,0.02242152466367713,0.1203288490284006,0.05904334828101644,0.14872944693572496,0.0007473841554559044
C/S/BMP7/D,0.028692879914984058,0.6216790648246546,0.006376195536663124,0.025504782146652496,0.01700318809776833,0.06588735387885228,0.1647183846971307,0.026567481402763018,0.04357066950053135,0.0
C/S/D/FGF4,0.09523809523809523,0.24603174603174602,0.03968253968253968,0.1984126984126984,0.015873015873015872,0.1984126984126984,0.19047619047619047,0.007936507936507936,0.007936507936507936,0.0
C/S/R/E/FGF2/D,0.06910569105691057,0.524390243902439,0.0040650406504065045,0.06707317073170732,0.014227642276422764,0.06910569105691057,0.052845528455284556,0.11585365853658537,0.08333333333333333,0.0
CHIR1.5,0.0034662045060658577,0.12824956672443674,0.030329289428076257,0.07105719237435008,0.0017331022530329288,0.01559792027729636,0.6542461005199307,0.06932409012131716,0.025996533795493933,0.0
CHIR1.5-SAG250,0.08433734939759036,0.1566265060240964,0.012048192771084338,0.22590361445783133,0.03614457831325301,0.07530120481927711,0.05421686746987952,0.3433734939759036,0.012048192771084338,0.0
CHIR1.5-SAG1000,0.07522485690923958,0.1259198691741619,0.01062959934587081,0.16026165167620604,0.04578904333605887,0.11120196238757155,0.022894521668029435,0.42518397383483236,0.022894521668029435,0.0
CHIR3,0.07621951219512195,0.3231707317073171,0.010670731707317074,0.12042682926829268,0.007621951219512195,0.08079268292682927,0.30640243902439024,0.018292682926829267,0.056402439024390245,0.0
CHIR3-SAG250,0.04415584415584416,0.2545454545454545,0.01818181818181818,0.14285714285714285,0.03116883116883117,0.0987012987012987,0.15064935064935064,0.23896103896103896,0.02077922077922078,0.0
CHIR3-SAG1000,0.07414829659318638,0.20440881763527055,0.002004008016032064,0.026052104208416832,0.1062124248496994,0.07414829659318638,0.05811623246492986,0.44288577154308617,0.012024048096192385,0.0
CHIR SAG FGF4,0.10058309037900874,0.4620991253644315,0.0029154518950437317,0.07871720116618076,0.05539358600583091,0.052478134110787174,0.14723032069970846,0.07871720116618076,0.021865889212827987,0.0
CHIR SAG FGF8,0.09090909090909091,0.5555555555555556,0.003367003367003367,0.058922558922558925,0.0016835016835016834,0.03367003367003367,0.07744107744107744,0.018518518518518517,0.15993265993265993,0.0
CHIR switch IWP2,0.023474178403755867,0.21948356807511737,0.011737089201877934,0.08450704225352113,0.0035211267605633804,0.03873239436619718,0.4788732394366197,0.0892018779342723,0.05046948356807512,0.0
CHIR-SAG-LDN,0.0831758034026465,0.31001890359168244,0.017013232514177693,0.13610586011342155,0.035916824196597356,0.10964083175803403,0.15689981096408318,0.15122873345935728,0.0,0.0
CHIR-SAG-d16-21,0.06601941747572816,0.1087378640776699,0.013592233009708738,0.22135922330097088,0.04854368932038835,0.08737864077669903,0.05436893203883495,0.34951456310679613,0.05048543689320388,0.0
CHIR-SAGd10-21,0.13700787401574804,0.25196850393700787,0.007874015748031496,0.3543307086614173,0.009448818897637795,0.10708661417322834,0.06299212598425197,0.06771653543307087,0.0,0.0015748031496062992
CHIR-d6-11,0.054945054945054944,0.1043956043956044,0.027472527472527472,0.1043956043956044,0.01098901098901099,0.07692307692307693,0.521978021978022,0.04945054945054945,0.04945054945054945,0.0
CHIR-d11-16,0.012466607301869992,0.16651825467497774,0.06767586821015138,0.06322350845948353,0.012466607301869992,0.02315227070347284,0.5200356188780053,0.08726625111308994,0.04719501335707925,0.0
CHIR-d16-21,0.0023952095808383233,0.010179640718562874,0.9383233532934132,0.013772455089820359,0.004790419161676647,0.0017964071856287425,0.018562874251497007,0.00718562874251497,0.0023952095808383233,0.0005988023952095808
DAPT,0.0011074197120708748,0.014396456256921373,0.9512735326688815,0.004429678848283499,0.0,0.004429678848283499,0.014396456256921373,0.007751937984496124,0.0011074197120708748,0.0011074197120708748
FGF2-20,0.2536231884057971,0.13848631239935588,0.3027375201288245,0.020128824476650563,0.004830917874396135,0.01610305958132045,0.20450885668276972,0.05314009661835749,0.00644122383252818,0.0
FGF2-50,0.6099221789883269,0.17217898832684825,0.017509727626459144,0.05642023346303502,0.0029182879377431907,0.033073929961089495,0.08754863813229571,0.006809338521400778,0.01264591439688716,0.0009727626459143969
FGF4,0.0008097165991902834,0.014574898785425101,0.9376518218623482,0.008906882591093117,0.0032388663967611335,0.0024291497975708503,0.02834008097165992,0.004048582995951417,0.0,0.0
FGF8,0.001059322033898305,0.001059322033898305,0.9735169491525424,0.00847457627118644,0.001059322033898305,0.0,0.009533898305084746,0.0031779661016949155,0.00211864406779661,0.0
FGF-20/EGF,0.41545893719806765,0.19806763285024154,0.17391304347826086,0.07971014492753623,0.004830917874396135,0.00966183574879227,0.0821256038647343,0.016908212560386472,0.01932367149758454,0.0
I/Activin/DAPT/SR11,0.0007027406886858749,0.03302881236823612,0.7835558678847505,0.02600140548137737,0.004919184820801124,0.007730147575544624,0.07308503162333099,0.060435699226985246,0.0007027406886858749,0.009838369641602248
IWP2,0.0011655011655011655,0.0034965034965034965,0.9685314685314685,0.004662004662004662,0.0011655011655011655,0.002331002331002331,0.009324009324009324,0.008158508158508158,0.0011655011655011655,0.0
IWP2 switch CHIR,0.0,0.01436265709156194,0.9317773788150808,0.012567324955116697,0.00718132854578097,0.0017953321364452424,0.02154398563734291,0.008976660682226212,0.0017953321364452424,0.0
IWP2-SAG,0.04649196956889264,0.11496196111580727,0.01098901098901099,0.15891800507185122,0.021132713440405747,0.09636517328825021,0.05325443786982249,0.47590870667793744,0.02028740490278952,0.0016906170752324597
LDN,0.0,0.010517799352750809,0.9700647249190939,0.0040453074433656954,0.0016181229773462784,0.0008090614886731392,0.00889967637540453,0.0008090614886731392,0.0016181229773462784,0.0016181229773462784
RA10,0.03926701570680628,0.15575916230366493,0.011780104712041885,0.07198952879581152,0.058900523560209424,0.06806282722513089,0.031413612565445025,0.5170157068062827,0.031413612565445025,0.014397905759162303
RA100,0.05263157894736842,0.17894736842105263,0.021052631578947368,0.05789473684210526,0.05263157894736842,0.14210526315789473,0.08947368421052632,0.38421052631578945,0.015789473684210527,0.005263157894736842
S/I/E/FGF2,0.0273972602739726,0.16164383561643836,0.03287671232876712,0.4,0.0273972602739726,0.0410958904109589,0.07123287671232877,0.06027397260273973,0.0136986301369863,0.1643835616438356
SAG250,0.08023255813953488,0.16627906976744186,0.010465116279069767,0.15,0.04302325581395349,0.1058139534883721,0.05,0.3872093023255814,0.005813953488372093,0.0011627906976744186
SAG1000,0.08,0.13043478260869565,0.02434782608695652,0.1634782608695652,0.04,0.15304347826086956,0.06086956521739131,0.33217391304347826,0.01391304347826087,0.0017391304347826088
SAG-CHIR-d16-21,0.07377049180327869,0.4360655737704918,0.006557377049180328,0.27704918032786885,0.018032786885245903,0.09016393442622951,0.08688524590163935,0.001639344262295082,0.009836065573770493,0.0
SAG-CHIRd10-21,0.04076086956521739,0.11956521739130435,0.008152173913043478,0.09510869565217392,0.057065217391304345,0.125,0.07608695652173914,0.4320652173913043,0.04619565217391304,0.0
SAG-d6-11,0.0872093023255814,0.17635658914728683,0.00872093023255814,0.16472868217054262,0.06298449612403101,0.12790697674418605,0.0687984496124031,0.20445736434108527,0.09883720930232558,0.0
SAG-d11-16,0.05499276410998553,0.2532561505065123,0.027496382054992764,0.38639652677279307,0.01447178002894356,0.07525325615050651,0.0824891461649783,0.09117221418234443,0.005788712011577424,0.008683068017366137
SAG-d16-21,0.0457516339869281,0.09803921568627451,0.1895424836601307,0.1568627450980392,0.029411764705882353,0.12418300653594772,0.13071895424836602,0.21568627450980393,0.0,0.00980392156862745
